CV_ID,Date,Plate.x,Bucket#.x,sal.treat.x,TA.treat.x,SA.mm2,SA.mm2.SE,SA.mm2.1,date.numb,notes.x,SA.start,grow.ratio,grow.perc,dps,mm2.diff.start,pixel ratio_original,pixels measured,pixel ratio_MEDIAN,pixel ratio_SE,Diff_time,Diff_growth,Net_growth,incr_growth,Plate.y,Bucket#.y,sal.treat.y,TA.treat.y,tare boat (mg),shell+gut+boat (mg),boat+gut (mg),notes.y,post muff,post muff.2,gut.wt,shell.wt,orgC.shell.wt,%oc.ic.shell,code,CI,bucket,med.ta,med.S,med.pH,rank.size,prob.size,rank.growth.net,prob.growth.net,rank.growth.inc,prob.growth.inc
557,7/25/2022,12,8,amb,1000,66.921,5611.214779,66.921,2459786,NA,66.921,1,100,0,0,14.557,974.168997,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,62.7105,175.6733,64.8771,NA,171.9563,NA,2.1666,173.5067,1.5504,0.893567799,0,0.012487126,8,842.8854344,34.1,7.94,3,0.036585366,,,,
569,7/25/2022,12,8,amb,1000,72.905,6112.963247,72.905,2459786,NA,72.905,1,100,0,0,14.557,1061.278085,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,47.7883,158.3695,50.3083,NA,154.0853,NA,2.52,155.8495,1.7642,1.131989516,0,0.016169446,8,842.8854344,34.1,7.94,5,0.06097561,,,,
565,7/25/2022,12,8,amb,1000,73.019,6122.521958,73.019,2459786,NA,73.019,1,100,0,0,14.557,1062.937583,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,60.8361,222.6322,62.9342,NA,218.0787,NA,2.0981,220.5341,2.4554,1.113387907,0,0.009513721,8,842.8854344,34.1,7.94,6,0.073170732,,,,
543,7/25/2022,12,8,amb,1000,75.586,6337.760647,75.586,2459786,NA,75.586,1,100,0,0,14.557,1100.305402,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,55.5736,168.1875,57.5939,NA,164.7064,NA,2.0203,166.1672,1.4608,0.87911453,0,0.012158236,8,842.8854344,34.1,7.94,8,0.097560976,,,,
580,7/25/2022,12,8,amb,1000,76.298,6397.460665,76.298,2459786,NA,76.298,1,100,0,0,14.557,1110.669986,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,51.5178,166.9122,53.5257,NA,163.0444,NA,2.0079,164.9043,1.8599,1.127866284,0,0.012176153,8,842.8854344,34.1,7.94,9,0.109756098,,,,
551,7/25/2022,12,8,amb,1000,76.364,6402.994656,76.364,2459786,NA,76.364,1,100,0,0,14.557,1111.630748,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,56.1135,200.5055,58.8093,NA,195.6243,NA,2.6958,197.8097,2.1854,1.104799209,0,0.01362825,8,842.8854344,34.1,7.94,10,0.12195122,,,,
583,7/25/2022,12,8,amb,1000,79.304,6649.508776,79.304,2459786,NA,79.304,1,100,0,0,14.557,1154.428328,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,64.3907,223.9519,67.6485,NA,218.5957,NA,3.2578,220.6941,2.0984,0.95081835,0,0.014761609,8,842.8854344,34.1,7.94,12,0.146341463,,,,
588,7/25/2022,12,8,amb,1000,79.437,6660.660605,79.437,2459786,NA,79.437,1,100,0,0,14.557,1156.364409,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,72.7606,209.046,74.5261,NA,205.3082,NA,1.7655,207.2805,1.9723,0.951512564,0,0.008517444,8,842.8854344,34.1,7.94,13,0.158536585,,,,
545,7/25/2022,12,8,amb,1000,79.663,6679.61033,79.663,2459786,NA,79.663,1,100,0,0,14.557,1159.654291,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,71.3207,204.8184,73.0496,NA,201.2361,NA,1.7289,203.0895,1.8534,0.912602572,0,0.008512996,8,842.8854344,34.1,7.94,14,0.170731707,,,,
555,7/25/2022,12,8,amb,1000,83.066,6964.946232,83.066,2459786,NA,83.066,1,100,0,0,14.557,1209.191762,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,56.9934,185.8002,59.6163,NA,181.106,NA,2.6229,183.1773,2.0713,1.130762382,0,0.014318914,8,842.8854344,34.1,7.94,15,0.182926829,,,,
547,7/25/2022,12,8,amb,1000,84.543,7088.790231,84.543,2459786,NA,84.543,1,100,0,0,14.557,1230.692451,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,50.4457,215.5816,53.2642,NA,211.1089,NA,2.8185,212.7631,1.6542,0.777484442,0,0.013247128,8,842.8854344,34.1,7.94,19,0.231707317,,,,
560,7/25/2022,12,8,amb,1000,84.746,7105.811444,84.746,2459786,NA,84.746,1,100,0,0,14.557,1233.647522,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,58.9584,297.9892,62.3827,NA,291.0635,NA,3.4243,294.5649,3.5014,1.188668439,0,0.011624942,8,842.8854344,34.1,7.94,20,0.243902439,,,,
542,7/25/2022,12,8,amb,1000,97.147,8145.614712,97.147,2459786,NA,97.147,1,100,0,0,14.557,1414.168879,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,62.4842,228.8001,65.5489,NA,223.0919,NA,3.0647,225.7354,2.6435,1.17106134,0,0.013576515,8,842.8854344,34.1,7.94,26,0.317073171,,,,
559,7/25/2022,12,8,amb,1000,99.479,8341.149041,99.479,2459786,NA,99.479,1,100,0,0,14.557,1448.115803,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,63.729,244.9036,67.415,NA,238.1864,NA,3.686,241.2176,3.0312,1.256624724,0,0.015280809,8,842.8854344,34.1,7.94,32,0.390243902,,,,
584,7/25/2022,12,8,amb,1000,100.106,8393.72195,100.106,2459786,NA,100.106,1,100,0,0,14.557,1457.243042,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,66.122,265.5238,69.5645,NA,258.6808,NA,3.4425,262.0813,3.4005,1.297498143,0,0.013135237,8,842.8854344,34.1,7.94,33,0.402439024,,,,
574,7/25/2022,12,8,amb,1000,108.827,9124.963326,108.827,2459786,NA,108.827,1,100,0,0,14.557,1584.194639,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,68.5196,300.1539,72.7914,NA,291.8331,NA,4.2718,295.8821,4.049,1.368450474,0,0.014437507,8,842.8854344,34.1,7.94,37,0.451219512,,,,
579,7/25/2022,12,8,amb,1000,120.139,10073.45575,120.139,2459786,NA,120.139,1,100,0,0,14.557,1748.863423,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,54.3542,365.0654,60.3308,NA,354.6995,NA,5.9766,359.0888,4.3893,1.222343888,0,0.016643794,8,842.8854344,34.1,7.94,41,0.5,,,,
586,7/25/2022,12,8,amb,1000,127.326,10676.07377,127.326,2459786,NA,127.326,1,100,0,0,14.557,1853.484582,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,75.6848,408.7571,81.8164,NA,398.5317,NA,6.1316,402.6255,4.0938,1.016776136,0,0.01522904,8,842.8854344,34.1,7.94,49,0.597560976,,,,
582,7/25/2022,12,8,amb,1000,128.392,10765.4561,128.392,2459786,NA,128.392,1,100,0,0,14.557,1869.002344,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,54.2067,306.3743,59.2219,NA,298.4322,NA,5.0152,301.3591,2.9269,0.971233323,0,0.01664194,8,842.8854344,34.1,7.94,50,0.609756098,,,,
575,7/25/2022,12,8,amb,1000,132.158,11081.22895,132.158,2459786,NA,132.158,1,100,0,0,14.557,1923.824006,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,63.599,347.5764,69.6617,NA,336.5794,NA,6.0627,341.5137,4.9343,1.444832228,0,0.017752436,8,842.8854344,34.1,7.94,51,0.62195122,,,,
554,7/25/2022,12,8,amb,1000,133.126,11162.39415,133.126,2459786,NA,133.126,1,100,0,0,14.557,1937.915182,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,77.6667,385.065,84.5699,NA,373.7109,NA,6.9032,378.1618,4.4509,1.176982974,0,0.01825462,8,842.8854344,34.1,7.94,53,0.646341463,,,,
556,7/25/2022,12,8,amb,1000,134.169,11249.84796,134.169,2459786,NA,134.169,1,100,0,0,14.557,1953.098133,14.557,0.173611069,NA,NA,,NA,12,8,amb,1000,65.989,360.8242,70.1255,NA,351.6853,NA,4.1365,356.6877,5.0024,1.40245935,0,0.01159698,8,842.8854344,34.1,7.94,54,0.658536585,,,,
