"CV_ID","Date","Plate.x","Bucket#.x","sal.treat.x","TA.treat.x","SA.mm2","SA.mm2.SE","SA.mm2.RE","SA.mm2.1","date.numb","notes.x","SA.dps18","SA.start","grow.ratio","grow.perc","dps","mm2.diff.start","pixel ratio_original","pixels measured","pixel ratio_MEDIAN","pixel ratio_SE","Diff_time","Diff_growth","Net_growth.d","incr_growth.d","Net_growth.w","incr_growth.w","Net_growth","Plate.y","Bucket#.y","sal.treat.y","TA.treat.y","tare boat (mg)","shell+gut+boat (mg)","boat+gut (mg)","notes.y","post muff","post muff.2","gut.wt","shell.wt","orgC.shell.wt","%oc.ic.shell","code","CI","bucket","med.ta","med.pH","med.S","med.T","med.OmC"
2,2022-08-30,1,6,"amb",2000,97.1641789816094,205189.449722358,103.8,97.113,2459822,NA,105.083,100.7405,1.03037010934033,103.037010934033,36,-3.6275,11.0114,1069.3500882,11.0056,0.00521152568831848,18,-1.283,0.0849861111111111,-0.0712777777777778,0.594902777777778,-0.498944444444445,3.0595,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
2,2022-07-25,1,6,"amb",2000,100.689,14688.9078515967,100.7405,100.689,2459786,NA,105.083,100.7405,1,100,0,-0.0515000000000043,14.8003,1490.2274067,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
2,2022-08-12,1,6,"amb",2000,105.083,8409.3201233497,105.083,105.083,2459804,NA,105.083,100.7405,1.0431058015396,104.31058015396,18,4.3425,12.004,1261.416332,12.004,0.150002177761968,18,4.3425,0.24125,0.24125,1.68875,1.68875,4.3425,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
3,2022-07-25,1,6,"amb",2000,164.396,23982.7359013507,162.4245,164.396,2459786,NA,168.523,162.4245,1,100,0,1.97149999999999,14.8003,2433.1101188,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
3,2022-08-30,1,6,"amb",2000,161.479055353638,341008.372190028,166.428,161.394,2459822,NA,168.523,162.4245,1.0246483750912,102.46483750912,36,-1.03049999999999,11.0114,1777.1738916,11.0056,0.00521152568831848,18,-2.095,0.111208333333333,-0.116388888888889,0.778458333333334,-0.814722222222222,4.0035,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
3,2022-08-12,1,6,"amb",2000,168.523,13486.1381493416,168.523,168.523,2459804,NA,168.523,162.4245,1.03754667553232,103.754667553232,18,6.0985,12.004,2022.950092,12.004,0.150002177761968,18,6.0985,0.338805555555556,0.338805555555556,2.37163888888889,2.37163888888889,6.0985,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
4,2022-08-30,1,6,"amb",2000,76.3952394235662,161330.001478181,81.1305,76.355,2459822,NA,82.265,78.421,1.03455069432933,103.455069432933,36,-2.06599999999999,11.0114,840.775447,11.0056,0.00521152568831848,18,-1.13449999999999,0.0752638888888894,-0.0630277777777771,0.526847222222226,-0.44119444444444,2.70950000000002,"1","6","amb","2000",59.4653,236.9885,62.5019,NA,231.6219,231.5603,3.0366,233.9519,2.32999999999998,0.995931214920664,0,0.0129795911039833,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
4,2022-08-12,1,6,"amb",2000,82.265,6583.29815429102,82.265,82.265,2459804,NA,82.265,78.421,1.04901748256207,104.901748256207,18,3.84400000000001,12.004,987.50906,12.004,0.150002177761968,18,3.84400000000001,0.213555555555556,0.213555555555556,1.49488888888889,1.49488888888889,3.84400000000001,"1","6","amb","2000",59.4653,236.9885,62.5019,NA,231.6219,231.5603,3.0366,233.9519,2.32999999999998,0.995931214920664,0,0.0129795911039833,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
4,2022-07-25,1,6,"amb",2000,79.959,11664.7338130861,78.421,79.959,2459786,NA,82.265,78.421,1,100,0,1.53800000000001,14.8003,1183.4171877,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",59.4653,236.9885,62.5019,NA,231.6219,231.5603,3.0366,233.9519,2.32999999999998,0.995931214920664,0,0.0129795911039833,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
8,2022-08-12,1,6,"amb",2000,113.596,9090.57724591068,113.596,113.596,2459804,NA,113.596,115.82,0.980797789673632,98.0797789673632,18,-2.22399999999999,12.004,1363.606384,12.004,0.150002177761968,18,-2.22399999999999,-0.123555555555555,-0.123555555555555,-0.864888888888885,-0.864888888888885,-2.22399999999999,"1","6","amb","2000",78.5378,355.4189,84.0078,NA,346.2853,346.1703,5.47,349.9489,3.6636,1.04689570391563,0,0.0156308535331873,6,1928.58629557829,7.935,34.01,16.3,2.57822572888289
