"","CV_ID","Date","Plate.x","Bucket#.x","sal.treat.x","TA.treat.x","SA.mm2","SA.mm2.SE","SA.mm2.1","date.numb","notes.x","SA.start","grow.ratio","grow.perc","dps","mm2.diff.start","pixel ratio_original","pixels measured","pixel ratio_MEDIAN","pixel ratio_SE","Diff_time","Diff_growth","Net_growth","incr_growth","Plate.y","Bucket#.y","sal.treat.y","TA.treat.y","tare boat (mg)","shell+gut+boat (mg)","boat+gut (mg)","notes.y","post muff","post muff.2","gut.wt","shell.wt","orgC.shell.wt","%oc.ic.shell","code","CI","bucket","med.ta","med.S","med.pH"
"1",1,2022-08-30,1,6,"amb",2000,282.787952006251,597186.173633575,282.639,2459822,NA,281.027,1.0057361036484,100.57361036484,36,1.61200000000002,11.0114,3112.2510846,11.0056,0.00521152568831848,21,-17.5575685967559,1.76095200625139,-0.836074695083615,"1","6","amb","2000",86.6625,793.26,97.3801,NA,771.2186,770.8483,10.7176,782.5424,11.3237999999999,1.447052581432,0,0.0136958713035869,6,1847.4576400923,34.01,8.03
"2",1,2022-07-25,1,6,"amb",2000,281.027,40997.3254954432,281.027,2459786,NA,281.027,1,100,0,0,14.8003,4159.2839081,14.8003,0.101452566913476,NA,NA,0,NA,"1","6","amb","2000",86.6625,793.26,97.3801,NA,771.2186,770.8483,10.7176,782.5424,11.3237999999999,1.447052581432,0,0.0136958713035869,6,1847.4576400923,34.01,8.03
"3",1,2022-08-09,1,6,"amb",2000,300.345520603007,84664.1353467962,301.203,2459801,NA,281.027,1.07179381340583,107.179381340583,15,20.176,12.9248,3892.9885344,12.9617,0.0459815542727009,15,19.3185206030073,19.3185206030073,1.28790137353382,"1","6","amb","2000",86.6625,793.26,97.3801,NA,771.2186,770.8483,10.7176,782.5424,11.3237999999999,1.447052581432,0,0.0136958713035869,6,1847.4576400923,34.01,8.03
"4",2,2022-08-30,1,6,"amb",2000,97.1641789816094,205189.449722358,97.113,2459822,NA,100.689,0.964484700414147,96.4484700414147,36,-3.57599999999999,11.0114,1069.3500882,11.0056,0.00521152568831848,21,-13.2296492353683,-3.52482101839063,-0.629983296922302,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1847.4576400923,34.01,8.03
"5",2,2022-08-09,1,6,"amb",2000,110.393828216978,31118.8194012293,110.709,2459801,NA,100.689,1.09951434615499,109.951434615499,15,10.02,12.9248,1430.8916832,12.9617,0.0459815542727009,15,9.70482821697772,9.70482821697772,0.646988547798514,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1847.4576400923,34.01,8.03
"6",2,2022-07-25,1,6,"amb",2000,100.689,14688.9078515967,100.689,2459786,NA,100.689,1,100,0,0,14.8003,1490.2274067,14.8003,0.101452566913476,NA,NA,0,NA,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1847.4576400923,34.01,8.03
"7",3,2022-07-25,1,6,"amb",2000,164.396,23982.7359013507,164.396,2459786,NA,164.396,1,100,0,0,14.8003,2433.1101188,14.8003,0.101452566913476,NA,NA,0,NA,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1847.4576400923,34.01,8.03
"8",3,2022-08-09,1,6,"amb",2000,164.594087750835,46397.2830180429,165.064,2459801,NA,164.396,1.00406335920582,100.406335920582,15,0.668000000000006,12.9248,2133.4191872,12.9617,0.0459815542727009,15,0.198087750835128,0.198087750835128,0.0132058500556752,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1847.4576400923,34.01,8.03
"9",3,2022-08-30,1,6,"amb",2000,161.479055353638,341008.372190028,161.394,2459822,NA,164.396,0.98173921506606,98.173921506606,36,-3.00199999999998,11.0114,1777.1738916,11.0056,0.00521152568831848,21,-3.11503239719696,-2.91694464636183,-0.148334876056998,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1847.4576400923,34.01,8.03
"10",4,2022-07-25,1,6,"amb",2000,79.959,11664.7338130861,79.959,2459786,NA,79.959,1,100,0,0,14.8003,1183.4171877,14.8003,0.101452566913476,NA,NA,0,NA,"1","6","amb","2000",59.4653,236.9885,62.5019,NA,231.6219,231.5603,3.0366,233.9519,2.32999999999998,0.995931214920664,0,0.0129795911039833,6,1847.4576400923,34.01,8.03
